  2592     4.28390     292.33875     291.48652     290.96431     289.79022     288.52203     289.86338     294.38395       0.31742       0.31748       0.31747       0.31571       0.30109       0.30890       5.46895       0.79471
  2640     4.27500     292.90208     291.65746     291.36814     290.66235     289.20247     289.89934     294.35172       0.31364       0.31372       0.31387       0.31332       0.30219       0.30878       4.56173       0.77979
  2688     4.27500     292.66999     290.74625     290.76022     290.66838     289.73226     289.96286     294.31952       0.31226       0.31203       0.31179       0.31135       0.30300       0.30867       2.39101       0.68075
  2736     4.32140     291.34916     290.41403     290.38236     290.28884     289.95210     290.03973     294.28831       0.31462       0.31436       0.31339       0.31083       0.30367       0.30857       3.64789       0.66011
  2784     4.36790     292.73354     292.87299     292.30632     291.14338     290.12985     290.11855     294.25763       0.31161       0.31153       0.31132       0.31025       0.30422       0.30848       6.69863       0.87943
  2832     4.41430     294.12166     292.48970     292.40194     292.05067     290.63816     290.20916     294.22800       0.30814       0.30822       0.30843       0.30870       0.30460       0.30839       3.46421       0.81947
  2880     4.46070     293.05166     292.93307     292.64367     291.99548     290.95514     290.31431     294.19910       0.30612       0.30622       0.30658       0.30736       0.30486       0.30830       5.70823       0.84830
  2928     4.50710     293.94979     292.18322     292.19838     292.12798     291.25141     290.42640     294.17129       0.30493       0.30501       0.30527       0.30611       0.30501       0.30822       2.60562       0.79877
  2976     4.55360     292.70375     290.68455     290.90815     291.32381     291.31065     290.53977     294.14456       0.30489       0.30494       0.30509       0.30557       0.30512       0.30814       0.98731       0.64539
  3024     4.60000     292.80374     290.33010     290.39393     290.62701     291.10807     290.64053     294.11869       0.32538       0.32315       0.31772       0.30816       0.30527       0.30807       0.86468       0.70029
  3072     4.60000     287.27437     288.26700     288.80753     289.84685     290.84786     290.72256     294.09377       0.32880       0.32721       0.32314       0.31353       0.30574       0.30800       1.35022       0.42664
  3120     4.58120     286.76379     287.43663     287.84055     288.70154     290.32354     290.77875     294.06936       0.32604       0.32546       0.32369       0.31757       0.30659       0.30793       2.14145       0.42668
  3168     4.56250     278.91635     285.18229     285.84641     287.28617     289.68198     290.80170     294.04590       0.32123       0.32124       0.32095       0.31825       0.30755       0.30788       4.41094       0.24246
  3216     4.54370     282.21514     284.10062     284.63234     286.03275     288.89506     290.78602     294.02246       0.31685       0.31695       0.31713       0.31665       0.30832       0.30784       3.38302       0.27614
  3264     4.52500     282.81904     283.51887     284.04049     285.38557     288.17645     290.73275     293.99902       0.32065       0.31935       0.31675       0.31495       0.30886       0.30780       2.40112       0.25806
  3312     4.50620     282.98687     284.49932     284.67728     285.28516     287.58054     290.64934     293.97501       0.33041       0.32965       0.32715       0.31845       0.30942       0.30777       4.20612       0.30375
  3360     4.48750     285.55541     285.86512     285.83172     285.95407     287.32479     290.54897     293.95012       0.32462       0.32464       0.32429       0.32073       0.31027       0.30775       4.49076       0.39938
  3408     4.46880     287.74166     286.24212     286.34605     286.62720     287.40320     290.45115     293.92517       0.31997       0.32005       0.32015       0.31942       0.31104       0.30774       2.77333       0.41233
  3456     4.46880     287.68395     288.83536     288.39196     287.56659     287.57608     290.36599     293.89923       0.31731       0.31735       0.31751       0.31754       0.31156       0.30773       6.27624       0.55792
  3504     4.45000     291.25541     289.62392     289.41615     288.94458     288.13909     290.30526     293.87286       0.31472       0.31481       0.31508       0.31559       0.31181       0.30773       4.08765       0.65557
  3552     4.43130     290.42458     288.92798     288.96708     288.99118     288.63653     290.27681     293.84650       0.31372       0.31380       0.31399       0.31436       0.31194       0.30773       2.90497       0.55892
  3600     4.41250     291.13437     289.42169     289.27142     289.01371     288.89156     290.26803     293.82013       0.32004       0.31928       0.31752       0.31456       0.31202       0.30774       3.57695       0.63835
  3648     4.39380     293.68895     291.08307     290.71620     289.95900     289.20535     290.27223     293.79376       0.31813       0.31795       0.31742       0.31559       0.31217       0.30774       3.93934       0.81592
